BENCH: densenet161
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00057371, 0.00000519, 39.15, 35
1, 0.00004158, 0.00000190, 54.97, 50
2, 0.00015834, 0.00002010, 70.53, 68
3, 0.00055761, 0.00000440, 48.07, 42
4, 0.00015732, 0.00000276, 60.82, 56
5, 0.00046094, 0.00000756, 62.51, 43
6, 0.00157534, 0.00003032, 20.29, 15
7, 0.00027918, 0.00000132, 18.15, 19
8, 0.00000507, 0.00000016, 2.00, 2
9, 0.00047573, 0.00000130, 37.00, 35
10, 0.00011941, 0.00000041, 53.24, 49
11, 0.00144121, 0.00002602, 42.74, 35
12, 0.00014487, 0.00000385, 67.52, 44
13, 0.00039678, 0.00000314, 60.56, 38
14, 0.00048126, 0.00002866, 61.84, 43
15, 0.00014490, 0.00001096, 64.82, 56
16, 0.00004656, 0.00000617, 111.19, 56
17, 0.00187434, 0.00002477, 49.46, 36
18, 0.00021333, 0.00001175, 49.13, 48
19, 0.00020905, 0.00000489, 70.52, 58
20, 0.00058216, 0.00001111, 58.62, 38
21, 0.00000483, 0.00000011, 2.00, 2
22, 0.00013657, 0.00001033, 57.01, 45
23, 0.00019005, 0.00002628, 66.89, 60
24, 0.00018403, 0.00000018, 50.72, 45
25, 0.00046818, 0.00003400, 61.55, 43
26, 0.00049889, 0.00003170, 46.44, 37
27, 0.00020466, 0.00000413, 24.18, 25
28, 0.00011336, 0.00000055, 86.66, 74
29, 0.00019151, 0.00000543, 91.09, 61
30, 0.00046998, 0.00001820, 50.13, 38
31, 0.00009486, 0.00000323, 70.09, 56
32, 0.00016715, 0.00000081, 60.43, 55
33, 0.00154129, 0.00011717, 48.65, 38
34, 0.00013769, 0.00001199, 72.43, 66
35, 0.00040547, 0.00000630, 45.28, 38
36, 0.00000559, 0.00000014, 2.00, 2
37, 0.00017416, 0.00001422, 21.15, 21
38, 0.00066074, 0.00001176, 46.30, 38
39, 0.00093235, 0.00001884, 58.52, 38
40, 0.00040346, 0.00000146, 59.32, 43
41, 0.00065080, 0.00006180, 43.98, 38
42, 0.00000696, 0.00000003, 36.44, 38
43, 0.00016961, 0.00000203, 68.94, 60
44, 0.00078695, 0.00001303, 53.72, 38
45, 0.00040723, 0.00003739, 52.91, 38
46, 0.00073225, 0.00003530, 63.15, 43
47, 0.00017692, 0.00001661, 66.65, 62
48, 0.00063100, 0.00000768, 66.76, 38
49, 0.00026357, 0.00001133, 50.19, 45
50, 0.00070726, 0.00000459, 50.92, 38
51, 0.00016313, 0.00000226, 66.22, 62
52, 0.00050909, 0.00000623, 29.38, 29
53, 0.00024876, 0.00000155, 66.75, 43
54, 0.00058005, 0.00001227, 52.57, 38
55, 0.00016234, 0.00001347, 84.91, 59
56, 0.00035911, 0.00000242, 113.87, 72
57, 0.00388873, 0.00007181, 79.69, 45
58, 0.00059773, 0.00000395, 58.71, 42
59, 0.00013730, 0.00000039, 58.98, 53
60, 0.00028175, 0.00002032, 90.66, 60
61, 0.00045489, 0.00001440, 56.99, 49
62, 0.00097878, 0.00006849, 60.93, 43
63, 0.00000928, 0.00000046, 2.00, 2
64, 0.00024321, 0.00000878, 65.33, 56
65, 0.00027423, 0.00001461, 66.69, 60
66, 0.00192973, 0.00002388, 61.56, 45
67, 0.00047520, 0.00000932, 53.85, 43
68, 0.00020475, 0.00000194, 72.07, 57
69, 0.00010285, 0.00001455, 64.62, 60
70, 0.00017730, 0.00001005, 71.00, 57
71, 0.00032590, 0.00000991, 38.53, 35
72, 0.00012357, 0.00000034, 64.71, 59
73, 0.00020633, 0.00000949, 20.17, 21
74, 0.00027719, 0.00000662, 92.18, 72
75, 0.00053138, 0.00000406, 69.74, 43
76, 0.00040537, 0.00000188, 65.78, 43
77, 0.00230441, 0.00012042, 63.64, 43
78, 0.00061610, 0.00002264, 49.70, 43
79, 0.00020122, 0.00000082, 63.41, 56
80, 0.00111453, 0.00005902, 50.48, 43
81, 0.00003517, 0.00000057, 20.93, 18
82, 0.00040810, 0.00002823, 84.36, 58
83, 0.00068380, 0.00007718, 58.32, 43
84, 0.00113226, 0.00004257, 57.58, 38
85, 0.00075476, 0.00001080, 65.53, 38
86, 0.00039739, 0.00000218, 63.33, 38
87, 0.00061892, 0.00001646, 37.99, 35
88, 0.00017392, 0.00000576, 45.36, 45
89, 0.00078224, 0.00000816, 53.00, 38
90, 0.00041142, 0.00004741, 54.11, 38
91, 0.00041439, 0.00000122, 50.54, 48
92, 0.00055382, 0.00000504, 51.57, 43
