BENCH: resnet18
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00005905, 0.00000042, 33.79, 35
1, 0.00098771, 0.00000438, 33.55, 21
2, 0.00091932, 0.00018208, 49.56, 46
3, 0.00001248, 0.00000095, 100.21, 55
4, 0.00000215, 0.00000000, 2.00, 2
5, 0.00085203, 0.00010696, 42.97, 34
6, 0.00091689, 0.00003705, 101.87, 39
7, 0.00060674, 0.00017693, 55.59, 41
8, 0.00006027, 0.00000090, 77.14, 72
9, 0.00005992, 0.00000064, 98.56, 62
10, 0.00000658, 0.00000010, 39.32, 42
11, 0.00045689, 0.00002262, 52.88, 32
12, 0.00087950, 0.00000783, 122.63, 39
13, 0.00094592, 0.00013847, 54.54, 34
14, 0.00089840, 0.00009876, 52.65, 35
15, 0.00079288, 0.00002870, 57.97, 51
16, 0.00001819, 0.00000092, 21.85, 23
17, 0.00049902, 0.00000903, 55.55, 53
18, 0.00082702, 0.00006241, 127.69, 34
