BENCH: vgg16
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00000743, 0.00000017, 2.00, 2
1, 0.00082788, 0.00019088, 27.89, 21
2, 0.00000178, 0.00000005, 2.00, 2
3, 0.01449447, 0.00001403, 180.44, 39
4, 0.00009425, 0.00000974, 103.83, 55
5, 0.00001327, 0.00000011, 2.00, 2
6, 0.01377237, 0.00002643, 104.22, 53
7, 0.00005277, 0.00000037, 2.00, 2
8, 0.00705358, 0.00005566, 95.67, 39
9, 0.00162259, 0.00001364, 118.84, 56
10, 0.00002606, 0.00000025, 2.00, 2
11, 0.00650693, 0.00000970, 83.29, 44
12, 0.01143690, 0.00000474, 114.28, 33
13, 0.01490143, 0.00003283, 78.55, 44
14, 0.00000775, 0.00000060, 74.83, 78
15, 0.00000486, 0.00000012, 2.00, 2
16, 0.00358532, 0.00003315, 59.51, 35
17, 0.01343600, 0.00006806, 122.23, 44
18, 0.00710655, 0.00001688, 99.90, 62
