BENCH: alexnet
layer, grid-300 exec, grid-300 std, grid-300 tuning, grid-300 trials
0, 0.00313016, 0.00001449, 111.46, 100
1, 0.00000424, 0.00000045, 62.36, 64
2, 0.00818582, 0.00009898, 125.19, 100
3, 0.00036052, 0.00005673, 187.08, 100
4, 0.00001522, 0.00000024, 97.98, 100
5, 0.00391368, 0.00001876, 116.11, 100
6, 0.00000618, 0.00000063, 76.79, 80
7, 0.02236667, 0.00002028, 211.39, 100
8, 0.00564214, 0.00002013, 116.97, 100
9, 0.00000092, 0.00000002, 3.82, 4
10, 0.00000735, 0.00000069, 75.46, 64
11, 0.00396731, 0.00001581, 116.01, 100
12, 0.00979807, 0.00001574, 169.88, 100
