BENCH: mobilenet_v2
layer, grid-300 exec, grid-300 std, grid-300 tuning, grid-300 trials
0, 0.00024441, 0.00000059, 99.16, 100
1, 0.00002213, 0.00000473, 116.21, 100
2, 0.00049131, 0.00004678, 101.84, 100
3, 0.00014902, 0.00000050, 99.90, 100
4, 0.00008983, 0.00000062, 182.84, 100
5, 0.00000413, 0.00000030, 3.92, 4
6, 0.00061774, 0.00001040, 104.75, 100
7, 0.00028215, 0.00002564, 114.65, 100
8, 0.00010427, 0.00000051, 98.41, 100
9, 0.00022235, 0.00000585, 103.24, 100
10, 0.00010921, 0.00000287, 115.31, 100
11, 0.00031323, 0.00000221, 102.19, 100
12, 0.00003810, 0.00000026, 115.54, 100
13, 0.00017082, 0.00002837, 101.56, 100
14, 0.00023172, 0.00001452, 110.78, 100
15, 0.00026504, 0.00000867, 101.98, 100
16, 0.00025500, 0.00000618, 101.55, 100
17, 0.00014678, 0.00000127, 102.38, 100
18, 0.00036938, 0.00000243, 101.05, 100
19, 0.00002111, 0.00000048, 105.70, 100
20, 0.00007353, 0.00000246, 98.76, 100
21, 0.00001204, 0.00000115, 99.93, 100
22, 0.00035705, 0.00001740, 102.52, 100
23, 0.00038268, 0.00010946, 103.98, 100
24, 0.00016652, 0.00000106, 101.10, 100
25, 0.00009169, 0.00000769, 111.41, 100
26, 0.00023739, 0.00000454, 100.20, 100
27, 0.00002536, 0.00000107, 117.11, 100
28, 0.00029407, 0.00000940, 105.09, 100
29, 0.00002399, 0.00000051, 111.44, 100
30, 0.00018509, 0.00001330, 102.11, 100
31, 0.00032977, 0.00002352, 101.20, 100
32, 0.00026645, 0.00000257, 121.82, 100
