BENCH: resnet50
layer, grid-300 exec, grid-300 std, grid-300 tuning, grid-300 trials
0, 0.00668129, 0.00001197, 107.99, 100
1, 0.00470698, 0.00004688, 135.29, 100
2, 0.00550345, 0.00004284, 105.33, 100
3, 0.00460259, 0.00002436, 135.88, 100
4, 0.00734400, 0.00028367, 107.25, 100
5, 0.00412132, 0.00001540, 113.40, 100
6, 0.00353799, 0.00002896, 106.36, 100
7, 0.00024794, 0.00002253, 186.75, 100
8, 0.00435874, 0.00001810, 115.49, 100
9, 0.00000477, 0.00000027, 3.92, 4
10, 0.00052932, 0.00000282, 99.83, 100
11, 0.00678003, 0.00001079, 119.66, 100
12, 0.00127049, 0.00004474, 101.05, 100
13, 0.00245525, 0.00001033, 103.94, 100
14, 0.00000963, 0.00000232, 99.32, 100
15, 0.01927437, 0.00023551, 146.54, 100
16, 0.00773346, 0.00004227, 121.88, 100
17, 0.00330954, 0.00005560, 106.07, 100
18, 0.00459879, 0.00004660, 119.97, 100
19, 0.00773861, 0.00004421, 117.31, 100
20, 0.01292033, 0.00012494, 129.76, 100
21, 0.00345185, 0.00000719, 108.30, 100
22, 0.01336787, 0.00005929, 125.39, 100
23, 0.00176894, 0.00002192, 101.90, 100
24, 0.00475451, 0.00001265, 112.76, 100
25, 0.00002390, 0.00000052, 4.00, 4
26, 0.00449642, 0.00002529, 110.06, 100
27, 0.00385150, 0.00002801, 112.04, 100
