BENCH: squeezenet
layer, grid-300 exec, grid-300 std, grid-300 tuning, grid-300 trials
0, 0.00012433, 0.00000354, 98.76, 100
1, 0.00005521, 0.00000139, 100.09, 100
2, 0.00039965, 0.00014168, 106.10, 100
3, 0.00009670, 0.00000027, 99.07, 100
4, 0.00000635, 0.00000072, 78.08, 80
5, 0.00011925, 0.00000064, 99.67, 100
6, 0.00000664, 0.00000040, 4.42, 4
7, 0.00009361, 0.00000304, 101.53, 100
8, 0.00407252, 0.00001476, 110.44, 100
9, 0.00083967, 0.00001057, 107.64, 100
10, 0.00008170, 0.00000033, 101.48, 100
11, 0.00015785, 0.00000381, 99.32, 100
12, 0.00042884, 0.00001112, 106.79, 100
13, 0.00000982, 0.00000205, 98.46, 100
14, 0.00074737, 0.00001096, 114.39, 100
15, 0.00000984, 0.00000065, 62.98, 64
16, 0.00023638, 0.00001204, 99.70, 100
17, 0.00087519, 0.00003535, 106.19, 100
18, 0.00002073, 0.00000045, 79.47, 80
19, 0.00026228, 0.00000430, 99.29, 100
20, 0.00032539, 0.00009176, 100.25, 100
21, 0.00009462, 0.00000302, 99.56, 100
22, 0.00006293, 0.00000035, 102.79, 100
