BENCH: vgg19
layer, grid-300 exec, grid-300 std, grid-300 tuning, grid-300 trials
0, 0.00000702, 0.00000075, 3.99, 4
1, 0.00223078, 0.00001034, 117.52, 100
2, 0.00000179, 0.00000003, 3.80, 4
3, 0.20089567, 0.00111390, 912.58, 100
4, 0.00030938, 0.00005583, 181.73, 100
5, 0.00001074, 0.00000091, 4.34, 4
6, 0.09853063, 0.00098010, 231.38, 100
7, 0.00009475, 0.00000220, 4.40, 4
8, 0.10250567, 0.00036157, 801.89, 100
9, 0.01003650, 0.00001162, 168.92, 100
10, 0.00004842, 0.00000018, 4.63, 4
11, 0.06386437, 0.00038171, 198.89, 100
12, 0.06052027, 0.00002987, 336.11, 100
13, 0.24890300, 0.00084432, 1050.02, 100
14, 0.00001126, 0.00000082, 98.78, 100
15, 0.00000460, 0.00000046, 4.00, 4
16, 0.06169517, 0.00103722, 878.91, 100
17, 0.12403167, 0.00175531, 363.03, 100
18, 0.10185433, 0.00058679, 329.93, 100
