BENCH: alexnet
SIZE: 300
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-300 (s), std Ansor-300, tuning time Ansor-300, task Ansor-300, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-300, speedup 10k, speed tuning time top-300, speed tuning time 10k, p-value
0, 0.00061582, 0.00000207, 26.48, 360.73, 15, 0.00067412, 0.00020197, 334.25, 300, 0.00067412, 0.00020197, 641.77, 576, 1.09, 1.09, 0.93, 1.78, 0.70401812
1, 0.00000335, 0.00000004, 3.48, 74.79, 7, 0.00000335, 0.00000004, 71.31, 64, 0.00000335, 0.00000004, 71.31, 64, 1.00, 1.00, 0.95, 0.95, 1.00000000
2, 0.00184977, 0.00018524, 10.84, 345.09, 11, 0.00184977, 0.00018524, 334.25, 300, 0.00180615, 0.00022914, 1711.38, 1536, 1.00, 0.98, 0.97, 4.96, 0.84438528
3, 0.00007437, 0.00000208, 84.92, 227.53, 11, 0.00007437, 0.00000208, 142.62, 128, 0.00007437, 0.00000208, 142.62, 128, 1.00, 1.00, 0.63, 0.63, 1.00000000
4, 0.00001067, 0.00000000, 26.28, 97.59, 40, 0.00001100, 0.00000009, 71.31, 64, 0.00001100, 0.00000009, 71.31, 64, 1.03, 1.03, 0.73, 0.73, 0.00572125
5, 0.00080423, 0.00000209, 23.94, 358.20, 25, 0.00089695, 0.00013597, 334.25, 300, 0.00089695, 0.00013597, 855.69, 768, 1.12, 1.12, 0.93, 2.39, 0.38950039
6, 0.00000498, 0.00000002, 4.34, 75.64, 9, 0.00000594, 0.00000007, 71.31, 64, 0.00000594, 0.00000007, 71.31, 64, 1.19, 1.19, 0.94, 0.94, 0.00004307
7, 0.00420463, 0.00000202, 16.49, 350.74, 11, 0.00420463, 0.00000202, 334.25, 300, 0.00418911, 0.00000755, 3921.92, 3520, 1.00, 1.00, 0.95, 11.18, 0.04849403
8, 0.00133542, 0.00016458, 11.52, 345.77, 11, 0.00133542, 0.00016458, 334.25, 300, 0.00124080, 0.00013817, 1140.92, 1024, 1.00, 0.93, 0.97, 3.30, 0.56723000
9, 0.00000127, 0.00000001, 0.19, 71.50, 1, 0.00000127, 0.00000001, 71.31, 64, 0.00000127, 0.00000001, 71.31, 64, 1.00, 1.00, 1.00, 1.00, 1.00000000
10, 0.00000646, 0.00000001, 16.03, 87.33, 14, 0.00000994, 0.00000008, 71.31, 64, 0.00000994, 0.00000008, 71.31, 64, 1.54, 1.54, 0.82, 0.82, 0.00000037
11, 0.00092813, 0.00021995, 10.42, 344.68, 11, 0.00092813, 0.00021995, 334.25, 300, 0.00088294, 0.00012427, 855.69, 768, 1.00, 0.95, 0.97, 2.48, 0.81276302
12, 0.00164917, 0.00002406, 11.51, 345.77, 14, 0.00164917, 0.00002406, 334.25, 300, 0.00163351, 0.00003821, 1568.77, 1408, 1.00, 0.99, 0.97, 4.54, 0.64942701
BENCH: resnet34
SIZE: 300
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-300 (s), std Ansor-300, tuning time Ansor-300, task Ansor-300, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-300, speedup 10k, speed tuning time top-300, speed tuning time 10k, p-value
0, 0.00005443, 0.00000027, 36.00, 108.77, 56, 0.00012867, 0.00000329, 72.77, 64, 0.00012867, 0.00000329, 72.77, 64, 2.36, 2.36, 0.67, 0.67, 0.00000582
1, 0.00090896, 0.00000162, 8.49, 349.60, 8, 0.00112269, 0.00030673, 341.11, 300, 0.00110208, 0.00024615, 436.62, 384, 1.24, 1.21, 0.98, 1.25, 0.32941132
2, 0.00096280, 0.00022622, 8.66, 349.77, 11, 0.00096280, 0.00022622, 341.11, 300, 0.00085076, 0.00011048, 1528.18, 1344, 1.00, 0.88, 0.98, 4.37, 0.56325847
3, 0.00001129, 0.00000014, 67.84, 140.61, 13, 0.00001129, 0.00000014, 72.77, 64, 0.00001129, 0.00000014, 72.77, 64, 1.00, 1.00, 0.52, 0.52, 1.00000000
4, 0.00000289, 0.00000014, 0.84, 73.61, 2, 0.00000289, 0.00000014, 72.77, 64, 0.00000289, 0.00000014, 72.77, 64, 1.00, 1.00, 0.99, 0.99, 1.00000000
5, 0.00087628, 0.00000150, 20.37, 361.48, 27, 0.00105604, 0.00024017, 341.11, 300, 0.00088508, 0.00016991, 873.25, 768, 1.21, 1.01, 0.94, 2.42, 0.94515850
6, 0.00091351, 0.00018084, 11.37, 352.48, 11, 0.00091351, 0.00018084, 341.11, 300, 0.00088070, 0.00017483, 1164.33, 1024, 1.00, 0.96, 0.97, 3.30, 0.86259828
7, 0.00073923, 0.00000092, 24.60, 315.68, 26, 0.00078474, 0.00013636, 291.08, 256, 0.00078474, 0.00013636, 291.08, 256, 1.06, 1.06, 0.92, 0.92, 0.66157827
8, 0.00005397, 0.00000010, 54.35, 127.12, 56, 0.00010279, 0.00000088, 72.77, 64, 0.00010279, 0.00000088, 72.77, 64, 1.90, 1.90, 0.57, 0.57, 0.00000016
9, 0.00006107, 0.00000029, 24.18, 96.95, 26, 0.00011394, 0.00000356, 72.77, 64, 0.00011394, 0.00000356, 72.77, 64, 1.87, 1.87, 0.75, 0.75, 0.00003078
10, 0.00000934, 0.00000024, 6.88, 79.65, 11, 0.00000934, 0.00000024, 72.77, 64, 0.00000934, 0.00000024, 72.77, 64, 1.00, 1.00, 0.91, 0.91, 1.00000000
11, 0.00056491, 0.00016281, 18.85, 237.16, 11, 0.00056491, 0.00016281, 218.31, 192, 0.00056491, 0.00016281, 218.31, 192, 1.00, 1.00, 0.92, 0.92, 1.00000000
12, 0.00085303, 0.00000020, 9.74, 350.85, 16, 0.00105828, 0.00024972, 341.11, 300, 0.00089998, 0.00019530, 946.02, 832, 1.24, 1.06, 0.97, 2.70, 0.75099573
13, 0.00088624, 0.00000059, 59.62, 400.73, 22, 0.00095867, 0.00021659, 341.11, 300, 0.00092949, 0.00022777, 654.93, 576, 1.08, 1.05, 0.85, 1.63, 0.80160338
14, 0.00091034, 0.00021713, 13.73, 354.84, 11, 0.00091034, 0.00021713, 341.11, 300, 0.00086154, 0.00013228, 1746.49, 1536, 1.00, 0.95, 0.96, 4.92, 0.79951716
15, 0.00098668, 0.00022354, 8.22, 349.33, 11, 0.00098668, 0.00022354, 341.11, 300, 0.00086612, 0.00012402, 946.02, 832, 1.00, 0.88, 0.98, 2.71, 0.54130045
16, 0.00001728, 0.00000002, 13.36, 86.13, 26, 0.00002697, 0.00000005, 72.77, 64, 0.00002697, 0.00000005, 72.77, 64, 1.56, 1.56, 0.84, 0.84, 0.00000000
17, 0.00054549, 0.00000012, 23.70, 242.02, 28, 0.00059168, 0.00018641, 218.31, 192, 0.00059168, 0.00018641, 218.31, 192, 1.08, 1.08, 0.90, 0.90, 0.74369099
18, 0.00095956, 0.00000055, 37.88, 378.99, 20, 0.00097575, 0.00017427, 341.11, 300, 0.00088298, 0.00014777, 946.02, 832, 1.02, 0.92, 0.90, 2.50, 0.50426628
