BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0000159952, 0.0000006368, 11, 0.13, 0.21, 0.0001134636, 0.0000001584, 1, 0.0000212260, 0.0000062541, 2, 7.09, 1.33
1, 0.0013249125, 0.0000007690, 95, 1.98, 2.06, 0.0013816361, 0.0000012606, 1, 0.0002982413, 0.0000001042, 899, 1.04, 0.23
2, 0.0000266803, 0.0000002078, 15, 0.17, 0.25, 0.0000292861, 0.0000043505, 1, 0.0000157888, 0.0000000204, 24, 1.10, 0.59
3, 0.0530021457, 0.0000044636, 52, 2.51, 2.59, 0.1023803806, 0.0000013237, 1, 0.0005600914, 0.0000008165, 1846, 1.93, 0.01
4, 0.0000329953, 0.0000004792, 33, 0.40, 0.48, 0.0000740184, 0.0000007663, 1, 0.0000135617, 0.0000000866, 4, 2.24, 0.41
5, 0.0013077485, 0.0000054573, 100, 2.82, 2.90, 0.0154598896, 0.0002095366, 1, 0.0005116769, 0.0000005301, 1733, 11.82, 0.39
6, 0.0025407835, 0.0000019197, 96, 2.16, 2.24, 0.0055164427, 0.0000470207, 1, 0.0006069399, 0.0000012510, 1026, 2.17, 0.24
7, 0.0021563152, 0.0000028221, 100, 2.58, 2.66, 0.0082470096, 0.0002112637, 1, 0.0004280032, 0.0000007824, 475, 3.82, 0.20
8, 0.0000241821, 0.0000000160, 24, 0.37, 0.45, 0.0000241821, 0.0000000160, 1, 0.0000098963, 0.0000000144, 60, 1.00, 0.41
9, 0.0000037283, 0.0000000940, 16, 0.17, 0.25, 0.0000247306, 0.0000001359, 1, 0.0000089593, 0.0000000476, 42, 6.63, 2.40
10, 0.0000119002, 0.0000001769, 11, 0.16, 0.24, 0.0000231576, 0.0000000247, 1, 0.0000231576, 0.0000000247, 1, 1.95, 1.95
11, 0.0014618130, 0.0000003754, 45, 5.97, 6.05, 0.0014618130, 0.0000003754, 1, 0.0003250693, 0.0000005950, 716, 1.00, 0.22
12, 0.0006372278, 0.0000003412, 50, 2.97, 3.05, 0.0006372278, 0.0000003412, 1, 0.0001586823, 0.0000001348, 467, 1.00, 0.25
13, 0.0002649863, 0.0000000193, 49, 1.08, 1.16, 0.0002649863, 0.0000000193, 1, 0.0000577176, 0.0000000251, 80, 1.00, 0.22
14, 0.0003338560, 0.0000005304, 24, 0.40, 0.48, 0.0011226935, 0.0000002551, 1, 0.0000198266, 0.0000010247, 117, 3.36, 0.06
TOP: 10
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-10 time(s), Meta-10 std(s), trials-10, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-10, speedup-10k
0, 0.0000157885, 0.0000004471, 11, 0.14, 0.29, 0.0000212260, 0.0000062541, 2, 0.0000212260, 0.0000062541, 2, 1.34, 1.34
1, 0.0006901215, 0.0000008477, 91, 1.90, 2.70, 0.0007706056, 0.0000017951, 9, 0.0002982413, 0.0000001042, 899, 1.12, 0.43
2, 0.0000215661, 0.0000000071, 15, 0.31, 1.10, 0.0000215661, 0.0000000071, 2, 0.0000157888, 0.0000000204, 24, 1.00, 0.73
3, 0.0034551798, 0.0000070319, 98, 2.75, 3.55, 0.0080420285, 0.0000056303, 2, 0.0005600914, 0.0000008165, 1846, 2.33, 0.16
4, 0.0000135617, 0.0000000866, 16, 0.17, 0.49, 0.0000135617, 0.0000000866, 4, 0.0000135617, 0.0000000866, 4, 1.00, 1.00
5, 0.0014812265, 0.0000059271, 99, 2.19, 2.99, 0.0018750663, 0.0000028177, 2, 0.0005116769, 0.0000005301, 1733, 1.27, 0.35
6, 0.0019488430, 0.0001158775, 91, 2.20, 2.99, 0.0032395628, 0.0000013065, 7, 0.0006069399, 0.0000012510, 1026, 1.66, 0.31
7, 0.0015697210, 0.0000039315, 96, 2.13, 2.92, 0.0047699417, 0.0013287258, 7, 0.0004280032, 0.0000007824, 475, 3.04, 0.27
8, 0.0000208804, 0.0000000501, 33, 0.29, 1.08, 0.0000208804, 0.0000000501, 6, 0.0000098963, 0.0000000144, 60, 1.00, 0.47
9, 0.0000091795, 0.0000000443, 15, 0.25, 1.04, 0.0000091795, 0.0000000443, 6, 0.0000089593, 0.0000000476, 42, 1.00, 0.98
10, 0.0000119867, 0.0000001799, 11, 0.13, 0.21, 0.0000231576, 0.0000000247, 1, 0.0000231576, 0.0000000247, 1, 1.93, 1.93
11, 0.0004945892, 0.0000000980, 49, 5.83, 6.63, 0.0004945892, 0.0000000980, 4, 0.0003250693, 0.0000005950, 716, 1.00, 0.66
