BENCH: shufflenet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0000112183, 0.0000002525, 11, 0.13, 0.17, 0.0001259091, 0.0000110798, 1, 0.0000423990, 0.0000002723, 3, 11.22, 3.78
1, 0.0000125552, 0.0000006511, 90, 1.24, 1.28, 0.0000823282, 0.0000015148, 2, 0.0000105362, 0.0000000113, 92, 6.56, 0.84
2, 0.0004017870, 0.0000007149, 55, 1.19, 1.23, 0.0011039086, 0.0000003168, 2, 0.0000981974, 0.0000000084, 381, 2.75, 0.24
3, 0.0000114468, 0.0000005689, 11, 0.14, 0.18, 0.0000255601, 0.0000002624, 1, 0.0000109985, 0.0000000188, 3, 2.23, 0.96
4, 0.0000750775, 0.0000014587, 94, 1.66, 1.70, 0.0001717273, 0.0000023374, 1, 0.0000131143, 0.0000000107, 41, 2.29, 0.17
5, 0.0001965953, 0.0000004779, 100, 1.28, 1.31, 0.0002154683, 0.0000005195, 1, 0.0000712738, 0.0000008850, 412, 1.10, 0.36
6, 0.0000128568, 0.0000003831, 11, 0.14, 0.17, 0.0000299022, 0.0000003232, 1, 0.0000284390, 0.0000003327, 2, 2.33, 2.21
7, 0.0001661533, 0.0000067296, 100, 1.43, 1.46, 0.0002754313, 0.0000029838, 1, 0.0000155367, 0.0000000280, 339, 1.66, 0.09
8, 0.0000128252, 0.0000006192, 11, 0.13, 0.17, 0.0000130447, 0.0000001598, 1, 0.0000130447, 0.0000001598, 1, 1.02, 1.02
9, 0.0005220180, 0.0000010062, 99, 1.34, 1.37, 0.0020343922, 0.0002495079, 1, 0.0000411061, 0.0000000559, 277, 3.90, 0.08
10, 0.0002260903, 0.0000081026, 60, 1.58, 1.62, 0.0006117633, 0.0000153546, 1, 0.0000234898, 0.0000000088, 66, 2.71, 0.10
11, 0.0001210493, 0.0000005222, 63, 1.18, 1.21, 0.0002713899, 0.0000074171, 1, 0.0000315098, 0.0000000369, 536, 2.24, 0.26
12, 0.0000138236, 0.0000001681, 11, 0.14, 0.17, 0.0000138236, 0.0000001681, 1, 0.0000138236, 0.0000001681, 1, 1.00, 1.00
13, 0.0001870087, 0.0000062764, 39, 1.34, 1.38, 0.0006754781, 0.0000021136, 1, 0.0000758890, 0.0000012263, 395, 3.61, 0.41
14, 0.0000549622, 0.0000011868, 23, 0.33, 0.36, 0.0000578266, 0.0000001402, 1, 0.0000211571, 0.0000000250, 72, 1.05, 0.38
15, 0.0000316770, 0.0000008723, 94, 1.73, 1.76, 0.0001171654, 0.0000001565, 1, 0.0000180006, 0.0000000357, 28, 3.70, 0.57
16, 0.0000092585, 0.0000001478, 11, 0.13, 0.17, 0.0000237311, 0.0000000307, 1, 0.0000101824, 0.0000000237, 3, 2.56, 1.10
17, 0.0002129722, 0.0000181402, 99, 1.35, 1.38, 0.0003047519, 0.0000181010, 1, 0.0000229447, 0.0000000079, 64, 1.43, 0.11
18, 0.0000311768, 0.0000007759, 61, 1.51, 1.55, 0.0000526615, 0.0000004885, 3, 0.0000190454, 0.0000000256, 194, 1.69, 0.61
19, 0.0000869373, 0.0000005722, 98, 1.35, 1.39, 0.0001721751, 0.0000037297, 1, 0.0000339828, 0.0000000278, 2704, 1.98, 0.39
20, 0.0000474638, 0.0000002027, 85, 1.26, 1.29, 0.0000659918, 0.0000000357, 1, 0.0000121843, 0.0000000224, 167, 1.39, 0.26
21, 0.0000553305, 0.0000007137, 100, 1.19, 1.23, 0.0005225568, 0.0000000289, 1, 0.0000304619, 0.0000000198, 995, 9.44, 0.55
22, 0.0003994705, 0.0000008856, 99, 1.37, 1.40, 0.0004374160, 0.0000057320, 1, 0.0001021479, 0.0000000575, 329, 1.09, 0.26
23, 0.0000139602, 0.0000003448, 34, 0.41, 0.45, 0.0000322170, 0.0000011536, 1, 0.0000098831, 0.0000000149, 44, 2.31, 0.71
24, 0.0000005500, 0.0000002227, 11, 0.12, 0.16, 0.0000098369, 0.0000000663, 1, 0.0000098369, 0.0000000663, 1, 17.89, 17.89
25, 0.0001348115, 0.0000006223, 98, 1.87, 1.91, 0.0001720330, 0.0000001046, 1, 0.0000259870, 0.0000000330, 130, 1.28, 0.19
26, 0.0001273447, 0.0000063408, 53, 0.61, 0.65, 0.0003521070, 0.0000441500, 1, 0.0000227128, 0.0000000257, 85, 2.76, 0.18
TOP: 10
