BENCH: googlenet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0000963377, 0.0000002071, 87, 1.49, 1.51, 0.0014844244, 0.0000043210, 1, 0.0000390949, 0.0000005498, 4, 15.41, 0.41
1, 0.0001113198, 0.0000022393, 99, 1.26, 1.28, 0.0001319407, 0.0000005203, 1, 0.0000624445, 0.0000005299, 12, 1.19, 0.56
2, 0.0002183797, 0.0000005987, 99, 1.40, 1.42, 0.0005100490, 0.0000000888, 1, 0.0000779184, 0.0000001362, 70, 2.34, 0.36
3, 0.0152409438, 0.0000032824, 95, 1.80, 1.82, 0.0281360257, 0.0000009784, 1, 0.0001513464, 0.0000001139, 281, 1.85, 0.01
4, 0.0000328172, 0.0000012115, 34, 0.51, 0.53, 0.0000356814, 0.0000000986, 1, 0.0000140036, 0.0000000111, 38, 1.09, 0.43
5, 0.0000880012, 0.0000002713, 100, 1.17, 1.19, 0.0002424870, 0.0000002176, 1, 0.0000606544, 0.0000000196, 69, 2.76, 0.69
6, 0.0000416205, 0.0000005949, 100, 1.13, 1.15, 0.0001395538, 0.0000380287, 1, 0.0000352304, 0.0000000445, 36, 3.35, 0.85
7, 0.0000518658, 0.0000007087, 83, 1.56, 1.58, 0.0001817089, 0.0000003809, 2, 0.0000438245, 0.0000000520, 23, 3.50, 0.84
8, 0.0001261052, 0.0000013638, 100, 1.25, 1.27, 0.0129648501, 0.0000659721, 1, 0.0000616674, 0.0000000597, 68, 102.81, 0.49
9, 0.0003246992, 0.0000019564, 61, 1.50, 1.52, 0.0010996766, 0.0000039574, 1, 0.0001200632, 0.0000021351, 72, 3.39, 0.37
10, 0.0000653475, 0.0000008244, 34, 0.50, 0.51, 0.0000685732, 0.0000010166, 1, 0.0000216552, 0.0000000592, 63, 1.05, 0.33
11, 0.0002614752, 0.0000011066, 98, 1.53, 1.54, 0.0005930548, 0.0002238605, 1, 0.0001187872, 0.0000064109, 87, 2.27, 0.45
12, 0.0002858975, 0.0000018302, 98, 1.41, 1.43, 0.0011801455, 0.0000053849, 1, 0.0000538165, 0.0000000418, 38, 4.13, 0.19
13, 0.0002103532, 0.0000031577, 99, 1.47, 1.48, 0.0005274785, 0.0000001493, 1, 0.0000560196, 0.0000001371, 103, 2.51, 0.27
14, 0.0002220213, 0.0000008196, 99, 1.58, 1.59, 0.0007869441, 0.0000003906, 1, 0.0001114071, 0.0000001967, 89, 3.54, 0.50
15, 0.0056417188, 0.0000043398, 97, 2.03, 2.04, 0.0100663462, 0.0000041189, 1, 0.0003111460, 0.0000002036, 365, 1.78, 0.06
16, 0.0000514725, 0.0000006914, 99, 1.31, 1.33, 0.0000851926, 0.0000225380, 1, 0.0000610489, 0.0000000615, 11, 1.66, 1.19
17, 0.0001530837, 0.0000023192, 54, 1.37, 1.39, 0.0124188466, 0.0000127511, 1, 0.0000461678, 0.0000000193, 115, 81.12, 0.30
18, 0.0003135125, 0.0000013598, 89, 1.27, 1.29, 0.0004586105, 0.0000004706, 1, 0.0000911369, 0.0000000349, 125, 1.46, 0.29
19, 0.0007775797, 0.0000018205, 96, 1.86, 1.88, 0.0023251580, 0.0002306769, 1, 0.0002723781, 0.0000001020, 298, 2.99, 0.35
20, 0.0041212922, 0.0000043916, 99, 2.14, 2.16, 0.0160355032, 0.0000039208, 1, 0.0002078142, 0.0000003092, 259, 3.89, 0.05
21, 0.0000565192, 0.0000006823, 24, 0.57, 0.59, 0.0000856046, 0.0000426980, 1, 0.0000224329, 0.0000000424, 62, 1.51, 0.40
22, 0.0006880753, 0.0000010684, 67, 1.36, 1.37, 0.0009543963, 0.0000142060, 1, 0.0000704730, 0.0000007961, 147, 1.39, 0.10
23, 0.0000481023, 0.0000008076, 100, 1.21, 1.23, 0.0001413724, 0.0000000304, 1, 0.0000360554, 0.0000000525, 80, 2.94, 0.75
24, 0.0000658158, 0.0000003882, 93, 1.42, 1.44, 0.0001661466, 0.0000006798, 1, 0.0000411204, 0.0000000134, 124, 2.52, 0.62
25, 0.0004475282, 0.0000003641, 97, 1.74, 1.76, 0.0011506751, 0.0004102941, 1, 0.0002475495, 0.0000066715, 296, 2.57, 0.55
26, 0.0001316420, 0.0000011799, 31, 0.65, 0.67, 0.0001434376, 0.0000151987, 1, 0.0000250105, 0.0000057513, 50, 1.09, 0.19
27, 0.0006791895, 0.0000076780, 100, 1.45, 1.47, 0.0118935295, 0.0002673640, 1, 0.0000577861, 0.0000000725, 121, 17.51, 0.09
28, 0.0000779893, 0.0000004305, 100, 1.44, 1.46, 0.0001587062, 0.0000279782, 1, 0.0000337015, 0.0000005161, 24, 2.03, 0.43
29, 0.0000634660, 0.0000004811, 96, 1.38, 1.40, 0.0002257445, 0.0000004604, 1, 0.0000334216, 0.0000004422, 27, 3.56, 0.53
30, 0.0001964643, 0.0000003091, 96, 1.41, 1.43, 0.0002021616, 0.0000009957, 1, 0.0000564597, 0.0000000765, 80, 1.03, 0.29
31, 0.0003695885, 0.0000012774, 96, 1.55, 1.57, 0.0005631462, 0.0000023946, 1, 0.0001638699, 0.0000001600, 166, 1.52, 0.44
