BENCH: densenet169
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0003908813, 0.0000006423, 99, 1.42, 1.43, 0.0030730046, 0.0015669479, 1, 0.0001326978, 0.0000003902, 19, 7.86, 0.34
1, 0.0001925840, 0.0000025446, 100, 1.42, 1.43, 0.0002158309, 0.0000002126, 1, 0.0001579025, 0.0000044886, 30, 1.12, 0.82
2, 0.0001973792, 0.0000006315, 100, 1.34, 1.35, 0.0002274863, 0.0000034415, 1, 0.0001335493, 0.0000000596, 48, 1.15, 0.68
3, 0.0005041978, 0.0000055505, 99, 1.54, 1.55, 0.0009770607, 0.0000007078, 1, 0.0001327208, 0.0000091694, 54, 1.94, 0.26
4, 0.0001513017, 0.0000003084, 100, 1.40, 1.42, 0.0002871023, 0.0000000811, 1, 0.0001291184, 0.0000001600, 57, 1.90, 0.85
5, 0.0002310747, 0.0000010131, 100, 1.24, 1.25, 0.0002515590, 0.0000001216, 1, 0.0001227238, 0.0000003824, 18, 1.09, 0.53
6, 0.0005733857, 0.0000040947, 97, 1.42, 1.43, 0.0026762382, 0.0000009237, 1, 0.0001003625, 0.0000001119, 39, 4.67, 0.18
7, 0.0015095070, 0.0000024724, 89, 1.57, 1.58, 0.0031076809, 0.0000003835, 2, 0.0000868633, 0.0000001021, 41, 2.06, 0.06
8, 0.0001501535, 0.0000007368, 100, 1.37, 1.38, 0.0003790954, 0.0000406414, 1, 0.0001022125, 0.0000000406, 14, 2.52, 0.68
9, 0.0016717722, 0.0000098054, 97, 1.48, 1.49, 0.0132908557, 0.0014172802, 1, 0.0001126988, 0.0000000544, 22, 7.95, 0.07
10, 0.0000980863, 0.0000006445, 98, 1.25, 1.27, 0.0003520229, 0.0001448613, 1, 0.0001060137, 0.0000000277, 57, 3.59, 1.08
11, 0.0011669480, 0.0000004486, 100, 1.33, 1.34, 0.0038958273, 0.0000001590, 1, 0.0000917544, 0.0000001828, 26, 3.34, 0.08
12, 0.0001872055, 0.0000004348, 99, 1.28, 1.30, 0.0004893959, 0.0000000255, 1, 0.0001130028, 0.0000002173, 5, 2.61, 0.60
13, 0.0001130697, 0.0000002687, 100, 1.32, 1.33, 0.0008657672, 0.0000043643, 1, 0.0001137803, 0.0000000418, 46, 7.66, 1.01
14, 0.0014838377, 0.0000061736, 100, 1.32, 1.33, 0.0040839637, 0.0000018877, 1, 0.0001110791, 0.0000001172, 11, 2.75, 0.07
15, 0.0001829288, 0.0000011125, 99, 1.44, 1.45, 0.0006478249, 0.0000045934, 1, 0.0001138745, 0.0000050703, 58, 3.54, 0.62
16, 0.0006121598, 0.0000005278, 97, 1.47, 1.48, 0.0047121351, 0.0000603628, 1, 0.0001120217, 0.0000003640, 29, 7.70, 0.18
17, 0.0001191848, 0.0000004920, 100, 1.22, 1.23, 0.0003956063, 0.0000006631, 2, 0.0001371265, 0.0000002303, 4, 3.32, 1.15
18, 0.0001234730, 0.0000003166, 50, 0.55, 0.56, 0.0001234730, 0.0000003166, 1, 0.0000977161, 0.0000000470, 11, 1.00, 0.79
19, 0.0001377267, 0.0000002481, 100, 1.36, 1.37, 0.0003003185, 0.0000450750, 1, 0.0001116529, 0.0000000283, 15, 2.18, 0.81
20, 0.0004887793, 0.0000067836, 97, 1.47, 1.48, 0.0005659231, 0.0000004686, 1, 0.0000858812, 0.0000004406, 11, 1.16, 0.18
21, 0.0002002075, 0.0000006907, 94, 1.61, 1.62, 0.0004904779, 0.0000005941, 1, 0.0001000833, 0.0000000523, 19, 2.45, 0.50
22, 0.0001724520, 0.0000008480, 99, 1.57, 1.58, 0.0011762771, 0.0000019244, 1, 0.0001023682, 0.0000000996, 22, 6.82, 0.59
23, 0.0000880128, 0.0000000657, 100, 1.23, 1.24, 0.0023179204, 0.0004201010, 1, 0.0000985432, 0.0000001942, 6, 26.34, 1.12
24, 0.0001283748, 0.0000013790, 98, 1.32, 1.33, 0.0001824451, 0.0000003078, 1, 0.0000892190, 0.0000001046, 61, 1.42, 0.69
25, 0.0000554358, 0.0000004316, 100, 1.31, 1.32, 0.0001007911, 0.0000000610, 1, 0.0000760821, 0.0000000669, 38, 1.82, 1.37
26, 0.0003123855, 0.0000005781, 68, 1.35, 1.36, 0.0006041057, 0.0000003012, 1, 0.0000961810, 0.0000000150, 38, 1.93, 0.31
