BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0000220050, 0.0000004185, 88, 0.38, 0.42, 0.0003219847, 0.0000215864, 11, 0.0000261827, 0.0000000231, 621, 14.63, 1.19
1, 0.0000302010, 0.0000013797, 2, 0.02, 0.06, 0.0000302010, 0.0000013797, 1, 0.0000022393, 0.0000000004, 23, 1.00, 0.07
2, 0.0001348263, 0.0000002416, 57, 0.75, 0.79, 0.0218753646, 0.0014033680, 1, 0.0000532323, 0.0000000782, 1245, 162.25, 0.39
3, 0.0000022401, 0.0000000021, 2, 0.02, 0.06, 0.0000022401, 0.0000000021, 5, 0.0000022373, 0.0000000006, 29, 1.00, 1.00
4, 0.0000497653, 0.0000005979, 80, 0.48, 0.52, 0.0000611949, 0.0000043138, 1, 0.0000241029, 0.0000000107, 645, 1.23, 0.48
5, 0.0007127038, 0.0000019184, 92, 0.80, 0.84, 0.0017347554, 0.0001108005, 1, 0.0000371399, 0.0000000026, 857, 2.43, 0.05
6, 0.0000494665, 0.0000006105, 63, 0.46, 0.49, 0.0000696827, 0.0000040814, 1, 0.0000221686, 0.0000000314, 206, 1.41, 0.45
7, 0.0000075340, 0.0000005724, 2, 0.02, 0.06, 0.0000075340, 0.0000005724, 1, 0.0000022376, 0.0000000007, 55, 1.00, 0.30
8, 0.0000045220, 0.0000000262, 7, 0.03, 0.06, 0.0000045220, 0.0000000262, 1, 0.0000044096, 0.0000000056, 64, 1.00, 0.98
9, 0.0000023057, 0.0000000017, 2, 0.02, 0.06, 0.0000023057, 0.0000000017, 1, 0.0000022708, 0.0000000006, 6, 1.00, 0.98
10, 0.0002679465, 0.0000002411, 34, 0.37, 0.41, 0.0002741072, 0.0000066162, 13, 0.0001854967, 0.0000002183, 1025, 1.02, 0.69
11, 0.0004923730, 0.0000009652, 32, 0.24, 0.27, 0.0019305832, 0.0001250830, 4, 0.0000864326, 0.0000000301, 326, 3.92, 0.18
12, 0.0001775195, 0.0000002036, 38, 0.30, 0.34, 0.0005973737, 0.0000125983, 1, 0.0000626623, 0.0000000016, 170, 3.37, 0.35
13, 0.0000191558, 0.0000015109, 10, 0.07, 0.11, 0.0000191558, 0.0000015109, 1, 0.0000022827, 0.0000000020, 45, 1.00, 0.12
TOP: 10
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-10 time(s), Meta-10 std(s), trials-10, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-10, speedup-10k
0, 0.0000138238, 0.0000004183, 86, 0.37, 0.74, 0.0003219847, 0.0000215864, 11, 0.0000261827, 0.0000000231, 621, 23.29, 1.89
1, 0.0000022637, 0.0000000006, 2, 0.02, 0.39, 0.0000022637, 0.0000000006, 10, 0.0000022393, 0.0000000004, 23, 1.00, 0.99
2, 0.0000948903, 0.0000002416, 92, 0.95, 1.32, 0.0010417754, 0.0000000491, 2, 0.0000532323, 0.0000000782, 1245, 10.98, 0.56
3, 0.0000022401, 0.0000000021, 2, 0.02, 0.39, 0.0000022401, 0.0000000021, 5, 0.0000022373, 0.0000000006, 29, 1.00, 1.00
