BENCH: googlenet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0000945493, 0.0000004827, 97, 0.84, 0.87, 0.0001370737, 0.0000000105, 1, 0.0000112858, 0.0000000004, 219, 1.45, 0.12
1, 0.0000146773, 0.0000002414, 88, 1.14, 1.17, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 681322674418604.62, 681322674418604.62
2, 0.0001592318, 0.0000004178, 99, 1.06, 1.08, 0.0002550382, 0.0000027002, 18, 0.0000166258, 0.0000000046, 147, 1.60, 0.10
3, 0.0000899408, 0.0000009654, 93, 1.11, 1.13, 0.0001428269, 0.0000054115, 65, 0.0000179433, 0.0000000010, 212, 1.59, 0.20
4, 0.0000037390, 0.0000000022, 6, 0.11, 0.14, 0.0000037390, 0.0000000022, 62, 0.0000031763, 0.0000000001, 119, 1.00, 0.85
5, 0.0002124571, 0.0000000169, 58, 0.52, 0.55, 0.0002124571, 0.0000000169, 10, 0.0000105715, 0.0000000012, 265, 1.00, 0.05
6, 0.0000472747, 0.0000002414, 97, 1.12, 1.14, 0.0000478022, 0.0000019701, 65, 0.0000107496, 0.0000000014, 174, 1.01, 0.23
7, 0.0000117157, 0.0000000033, 43, 0.44, 0.47, 0.0000117157, 0.0000000033, 28, 0.0000099949, 0.0000000017, 74, 1.00, 0.85
8, 0.0000585387, 0.0000002414, 92, 1.02, 1.04, 0.0000771290, 0.0000012275, 1, 0.0000131309, 0.0000000089, 99, 1.32, 0.22
9, 0.0001215145, 0.0000002411, 92, 1.24, 1.26, 0.0030662044, 0.0001478861, 1, 0.0000196229, 0.0000000164, 178, 25.23, 0.16
10, 0.0000052482, 0.0000001545, 7, 0.12, 0.14, 0.0000052482, 0.0000001545, 1, 0.0000037145, 0.0000000001, 122, 1.00, 0.71
11, 0.0000822612, 0.0000002416, 95, 0.94, 0.97, 0.0001186568, 0.0000000004, 1, 0.0000117994, 0.0000000007, 282, 1.44, 0.14
12, 0.0000155989, 0.0000005066, 64, 0.63, 0.66, 0.0000155989, 0.0000005066, 1, 0.0000066635, 0.0000000006, 207, 1.00, 0.43
13, 0.0000211907, 0.0000008796, 62, 0.53, 0.56, 0.0000211907, 0.0000008796, 1, 0.0000114000, 0.0000000005, 241, 1.00, 0.54
14, 0.0000739051, 0.0000022106, 50, 0.52, 0.55, 0.0000739051, 0.0000022106, 1, 0.0000117920, 0.0000000004, 79, 1.00, 0.16
15, 0.0006195200, 0.0000004180, 69, 1.10, 1.12, 0.0006302443, 0.0000159154, 5, 0.0000215026, 0.0000000144, 486, 1.02, 0.03
16, 0.0000370347, 0.0000002414, 97, 1.10, 1.13, 0.0000473933, 0.0000021818, 1, 0.0000085540, 0.0000000003, 5, 1.28, 0.23
17, 0.0000208827, 0.0000009821, 66, 0.53, 0.55, 0.0000208827, 0.0000009821, 1, 0.0000107591, 0.0000000026, 245, 1.00, 0.52
