BENCH: googlenet
TOP: 50
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-50 time(s), Meta-50 std(s), trials-50, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-50, speedup-10k
0, 0.0000266704, 0.0000000005, 49, 0.88, 2.16, 0.0000266704, 0.0000000005, 4, 0.0000112858, 0.0000000004, 219, 1.00, 0.42
1, 0.0000165543, 0.0000002416, 89, 1.60, 1.63, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 604071441515816.50, 604071441515816.50
2, 0.0000191145, 0.0000006384, 97, 1.48, 2.76, 0.0000328916, 0.0000000088, 35, 0.0000166258, 0.0000000046, 147, 1.72, 0.87
3, 0.0000785065, 0.0000002411, 100, 1.61, 2.90, 0.0001428269, 0.0000054115, 65, 0.0000179433, 0.0000000010, 212, 1.82, 0.23
4, 0.0000037390, 0.0000000022, 6, 0.17, 1.46, 0.0000037390, 0.0000000022, 62, 0.0000031763, 0.0000000001, 119, 1.00, 0.85
5, 0.0000273393, 0.0000000068, 58, 0.76, 2.05, 0.0000273393, 0.0000000068, 13, 0.0000105715, 0.0000000012, 265, 1.00, 0.39
6, 0.0000474453, 0.0000002414, 97, 1.37, 2.66, 0.0000478022, 0.0000019701, 65, 0.0000107496, 0.0000000014, 174, 1.01, 0.23
7, 0.0000102136, 0.0000000035, 60, 0.84, 2.13, 0.0000102136, 0.0000000035, 39, 0.0000099949, 0.0000000017, 74, 1.00, 0.98
8, 0.0000156988, 0.0000000005, 64, 0.76, 2.05, 0.0000156988, 0.0000000005, 36, 0.0000131309, 0.0000000089, 99, 1.00, 0.84
9, 0.0000198980, 0.0000000201, 42, 0.85, 2.14, 0.0000198980, 0.0000000201, 31, 0.0000196229, 0.0000000164, 178, 1.00, 0.99
10, 0.0000037671, 0.0000000003, 7, 0.17, 1.46, 0.0000037671, 0.0000000003, 18, 0.0000037145, 0.0000000001, 122, 1.00, 0.99
11, 0.0000179200, 0.0000007241, 85, 1.51, 2.80, 0.0000264432, 0.0000000014, 6, 0.0000117994, 0.0000000007, 282, 1.48, 0.66
12, 0.0000155989, 0.0000005066, 64, 0.95, 2.23, 0.0000155989, 0.0000005066, 1, 0.0000066635, 0.0000000006, 207, 1.00, 0.43
13, 0.0000155465, 0.0000000003, 41, 0.79, 2.07, 0.0000155465, 0.0000000003, 34, 0.0000114000, 0.0000000005, 241, 1.00, 0.73
14, 0.0000354987, 0.0000002414, 87, 1.73, 3.02, 0.0000409332, 0.0000000146, 28, 0.0000117920, 0.0000000004, 79, 1.15, 0.33
15, 0.0000355309, 0.0000000118, 45, 0.91, 2.20, 0.0000355309, 0.0000000118, 39, 0.0000215026, 0.0000000144, 486, 1.00, 0.61
16, 0.0000085540, 0.0000000003, 57, 0.82, 0.94, 0.0000085540, 0.0000000003, 5, 0.0000085540, 0.0000000003, 5, 1.00, 1.00
17, 0.0000123933, 0.0000000010, 66, 0.83, 2.12, 0.0000123933, 0.0000000010, 11, 0.0000107591, 0.0000000026, 245, 1.00, 0.87
18, 0.0000399545, 0.0000000013, 65, 0.77, 2.06, 0.0000399545, 0.0000000013, 41, 0.0000121701, 0.0000000003, 264, 1.00, 0.30
19, 0.0000389074, 0.0000000010, 49, 0.82, 2.10, 0.0000389074, 0.0000000010, 17, 0.0000198681, 0.0000000022, 376, 1.00, 0.51
20, 0.0000218860, 0.0000000150, 36, 0.83, 2.12, 0.0000218860, 0.0000000150, 29, 0.0000184180, 0.0000000006, 287, 1.00, 0.84
21, 0.0000031754, 0.0000000013, 2, 0.16, 0.29, 0.0000031754, 0.0000000013, 5, 0.0000031754, 0.0000000013, 5, 1.00, 1.00
22, 0.0000244782, 0.0000000057, 57, 0.94, 2.22, 0.0000244782, 0.0000000057, 41, 0.0000096163, 0.0000000004, 625, 1.00, 0.39
23, 0.0000136532, 0.0000002416, 72, 1.67, 2.96, 0.0000158674, 0.0000000093, 28, 0.0000076890, 0.0000000006, 361, 1.16, 0.56
24, 0.0000131917, 0.0000000028, 66, 0.98, 2.27, 0.0000131917, 0.0000000028, 2, 0.0000112665, 0.0000000054, 427, 1.00, 0.85
25, 0.0000284445, 0.0000000158, 35, 0.90, 2.18, 0.0000284445, 0.0000000158, 34, 0.0000217327, 0.0000000002, 435, 1.00, 0.76
26, 0.0000034365, 0.0000000021, 7, 0.17, 1.46, 0.0000034365, 0.0000000021, 3, 0.0000033718, 0.0000000000, 114, 1.00, 0.98
27, 0.0000143618, 0.0000000109, 65, 0.91, 2.19, 0.0000143618, 0.0000000109, 5, 0.0000098818, 0.0000000004, 244, 1.00, 0.69
28, 0.0000102925, 0.0000000004, 62, 0.77, 2.06, 0.0000102925, 0.0000000004, 10, 0.0000067239, 0.0000000048, 230, 1.00, 0.65
29, 0.0000112697, 0.0000000015, 66, 0.89, 2.18, 0.0000112697, 0.0000000015, 33, 0.0000112003, 0.0000000020, 88, 1.00, 0.99
30, 0.0000272024, 0.0000000038, 65, 0.91, 2.20, 0.0000272024, 0.0000000038, 35, 0.0000112234, 0.0000000005, 197, 1.00, 0.41
31, 0.0000245075, 0.0000000069, 31, 0.84, 2.13, 0.0000245075, 0.0000000069, 16, 0.0000151171, 0.0000000091, 287, 1.00, 0.62
32, 0.0000038802, 0.0000000003, 2, 0.15, 1.44, 0.0000038802, 0.0000000003, 8, 0.0000038660, 0.0000000001, 94, 1.00, 1.00
33, 0.0000162044, 0.0000000032, 66, 0.93, 2.22, 0.0000162044, 0.0000000032, 8, 0.0000090264, 0.0000000004, 248, 1.00, 0.56
34, 0.0000117725, 0.0000000012, 66, 0.79, 2.07, 0.0000117725, 0.0000000012, 16, 0.0000076758, 0.0000000030, 220, 1.00, 0.65
35, 0.0000182034, 0.0000000018, 54, 0.85, 2.13, 0.0000182034, 0.0000000018, 44, 0.0000138583, 0.0000000004, 294, 1.00, 0.76
36, 0.0000410835, 0.0000000067, 53, 0.93, 2.22, 0.0000410835, 0.0000000067, 47, 0.0000331514, 0.0000000044, 582, 1.00, 0.81
37, 0.0000035299, 0.0000000001, 2, 0.16, 0.37, 0.0000035299, 0.0000000001, 8, 0.0000035299, 0.0000000001, 8, 1.00, 1.00
38, 0.0000108670, 0.0000000015, 56, 0.95, 2.24, 0.0000108670, 0.0000000015, 32, 0.0000068297, 0.0000000036, 249, 1.00, 0.63
39, 0.0000064895, 0.0000000006, 61, 0.97, 2.26, 0.0000064895, 0.0000000006, 9, 0.0000055650, 0.0000000018, 62, 1.00, 0.86
40, 0.0000130707, 0.0000000014, 64, 0.91, 2.19, 0.0000130707, 0.0000000014, 32, 0.0000120376, 0.0000000007, 60, 1.00, 0.92
41, 0.0000139947, 0.0000002414, 81, 1.26, 2.55, 0.0000146639, 0.0000000042, 14, 0.0000103235, 0.0000000011, 159, 1.05, 0.74
42, 0.0000309885, 0.0000000180, 31, 0.87, 2.16, 0.0000309885, 0.0000000180, 22, 0.0000224198, 0.0000000014, 233, 1.00, 0.72
43, 0.0000028748, 0.0000000000, 2, 0.15, 0.36, 0.0000028748, 0.0000000000, 8, 0.0000028748, 0.0000000000, 8, 1.00, 1.00
