BENCH: resnet50
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00002031, 0.00000055, 11, 0.03, 0.00002054, 0.00000008, 1, 0.00001965, 0.00000003, 2, 1.01, 0.97
1, 0.00094656, 0.00000424, 87, 0.35, 0.00354004, 0.00000127, 1, 0.00070715, 0.00000133, 130, 3.74, 0.75
2, 0.00121206, 0.00002059, 100, 0.43, 0.01718953, 0.00002589, 1, 0.00073782, 0.00000075, 137, 14.18, 0.61
3, 0.00310378, 0.00005234, 94, 0.70, 0.00926941, 0.00009391, 1, 0.00070989, 0.00000012, 65, 2.99, 0.23
4, 0.00000867, 0.00000002, 11, 0.03, 0.00000867, 0.00000002, 1, 0.00000853, 0.00000001, 2, 1.00, 0.98
5, 0.00053984, 0.00001106, 100, 0.43, 0.00114188, 0.00000397, 1, 0.00040453, 0.00000053, 65, 2.12, 0.75
6, 0.00000703, 0.00000001, 10, 0.02, 0.00000703, 0.00000001, 1, 0.00000703, 0.00000001, 1, 1.00, 1.00
7, 0.00512145, 0.00001428, 78, 0.47, 0.00519663, 0.00001912, 1, 0.00083119, 0.00000025, 278, 1.01, 0.16
8, 0.00008868, 0.00000021, 52, 0.13, 0.00008982, 0.00000017, 1, 0.00001699, 0.00000003, 8, 1.01, 0.19
9, 0.00000885, 0.00000002, 11, 0.03, 0.00000885, 0.00000002, 1, 0.00000506, 0.00000000, 2, 1.00, 0.57
10, 0.00018213, 0.00000125, 88, 0.64, 0.00044114, 0.00000086, 1, 0.00010854, 0.00000009, 38, 2.42, 0.60
11, 0.00001356, 0.00000002, 10, 0.02, 0.00001356, 0.00000002, 1, 0.00001356, 0.00000002, 1, 1.00, 1.00
12, 0.00007160, 0.00000023, 19, 0.06, 0.00007437, 0.00000025, 1, 0.00006767, 0.00000015, 2, 1.04, 0.95
