BENCH: alexnet
SIZE: 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00105479, 19.68, 20.79, 12, 0.00170603, 1.11,  1, 0.00067412, 641.77, 576, 1.62, 0.64, 0.05, 30.86
1, 0.00000674, 5.45, 6.56, 6, 0.00000674, 1.11,  1, 0.00000335, 71.31, 64, 1.00, 0.50, 0.17, 10.86
2, 0.01103827, 33.17, 34.29, 33, 0.01836223, 1.11,  1, 0.00180615, 1711.38, 1536, 1.66, 0.16, 0.03, 49.91
3, 0.00012757, 47.07, 48.19, 11, 0.00012757, 1.11,  1, 0.00007437, 142.62, 128, 1.00, 0.58, 0.02, 2.96
4, 0.00001092, 21.64, 22.75, 34, 0.00002531, 1.11,  1, 0.00001100, 71.31, 64, 2.32, 1.01, 0.05, 3.13
5, 0.00146686, 8.26, 9.37, 15, 0.00599725, 1.11,  1, 0.00089695, 855.69, 768, 4.09, 0.61, 0.12, 91.31
6, 0.00000521, 4.76, 5.87, 9, 0.00000622, 1.11,  1, 0.00000594, 71.31, 64, 1.19, 1.14, 0.19, 12.14
7, 0.00439646, 18.11, 19.23, 15, 0.00439646, 1.11,  1, 0.00418911, 3921.92, 3520, 1.00, 0.95, 0.06, 203.96
8, 0.00168776, 8.45, 9.57, 17, 0.00649392, 1.11,  1, 0.00124080, 1140.92, 1024, 3.85, 0.74, 0.12, 119.26
9, 0.00000705, 0.23, 1.34, 1, 0.00000705, 1.11,  1, 0.00000127, 71.31, 64, 1.00, 0.18, 0.83, 53.15
10, 0.00000541, 4.06, 5.17, 8, 0.00001616, 1.11,  1, 0.00000994, 71.31, 64, 2.99, 1.84, 0.22, 13.79
11, 0.00380119, 9.61, 10.72, 11, 0.00380119, 1.11,  1, 0.00088294, 855.69, 768, 1.00, 0.23, 0.10, 79.79
12, 0.00191167, 11.13, 12.24, 15, 0.00191167, 1.11,  1, 0.00163351, 1568.77, 1408, 1.00, 0.85, 0.09, 128.14
SIZE: 10
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-10 (s), tuning time Ansor-10, task Ansor-10, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-10, speedup 10k, speed tuning time top-10, speed tuning time 10k
0, 0.00104796, 19.60, 30.74, 12, 0.00170603, 11.14, 10, 0.00067412, 641.77, 576, 1.63, 0.64, 0.36, 20.88
1, 0.00000412, 6.92, 18.06, 8, 0.00000437, 11.14, 10, 0.00000335, 71.31, 64, 1.06, 0.81, 0.62, 3.95
2, 0.00242930, 24.65, 35.80, 22, 0.00255091, 11.14, 10, 0.00180615, 1711.38, 1536, 1.05, 0.74, 0.31, 47.81
3, 0.00009245, 84.56, 95.70, 11, 0.00009245, 11.14, 10, 0.00007437, 142.62, 128, 1.00, 0.80, 0.12, 1.49
4, 0.00000784, 27.96, 39.10, 45, 0.00002396, 11.14, 10, 0.00001100, 71.31, 64, 3.06, 1.40, 0.28, 1.82
5, 0.00154337, 26.60, 37.74, 21, 0.00161862, 11.14, 10, 0.00089695, 855.69, 768, 1.05, 0.58, 0.30, 22.67
6, 0.00000518, 4.39, 15.53, 9, 0.00000622, 11.14, 10, 0.00000594, 71.31, 64, 1.20, 1.15, 0.72, 4.59
7, 0.00425106, 16.67, 27.81, 13, 0.00425106, 11.14, 10, 0.00418911, 3921.92, 3520, 1.00, 0.99, 0.40, 141.02
8, 0.00166976, 22.54, 33.69, 26, 0.00198796, 11.14, 10, 0.00124080, 1140.92, 1024, 1.19, 0.74, 0.33, 33.87
9, 0.00000088, 0.82, 11.96, 2, 0.00000127, 11.14, 10, 0.00000127, 71.31, 64, 1.44, 1.44, 0.93, 5.96
10, 0.00000552, 3.22, 14.36, 6, 0.00001616, 11.14, 10, 0.00000994, 71.31, 64, 2.92, 1.80, 0.78, 4.97
11, 0.00130102, 6.34, 17.48, 11, 0.00130102, 11.14, 10, 0.00088294, 855.69, 768, 1.00, 0.68, 0.64, 48.95
12, 0.00191167, 10.98, 22.12, 15, 0.00191167, 11.14, 10, 0.00163351, 1568.77, 1408, 1.00, 0.85, 0.50, 70.92
SIZE: 25
